"October 29, 2014 at 02:15AM","October 29, 2014 at 08:25AM",6h 0m,21600,3h 0m,10800,42.86%,3h 0m,10800,42.86%,1h 0m,3600,14.29%
"October 29, 2014 at 11:19PM","October 30, 2014 at 07:05AM",7h 29m,26951,3h 45m,13509,45.02%,3h 44m,13442,44.8%,50m,3055,10.18%
"October 30, 2014 at 11:41PM","October 31, 2014 at 07:00AM",7h 14m,26055,3h 21m,12074,43.03%,3h 53m,13981,49.83%,33m,2004,7.14%
"November 01, 2014 at 12:19AM","November 01, 2014 at 06:55AM",6h 38m,23892,2h 58m,10739,43.28%,3h 39m,13153,53.01%,15m,922,3.72%
"November 02, 2014 at 01:45AM","November 02, 2014 at 08:00AM",7h 16m,26161,4h 55m,17701,66.24%,2h 21m,8460,31.66%,9m,560,2.1%
"November 02, 2014 at 02:15PM","November 02, 2014 at 03:50PM",1h 35m,5700,1h 25m,5100,89.47%,10m,600,10.53%,0,0,0%
"November 03, 2014 at 12:23AM","November 03, 2014 at 06:00AM",5h 44m,20657,2h 35m,9302,37.49%,2h 59m,10747,43.32%,1h 9m,4153,16.74%
"November 04, 2014 at 12:07AM","November 04, 2014 at 05:50AM",5h 46m,20780,3h 10m,11422,50.29%,2h 28m,8882,39.11%,32m,1933,8.51%
"November 04, 2014 at 10:42PM","November 05, 2014 at 06:00AM",7h 18m,26289,4h 36m,16570,56.18%,2h 41m,9719,32.95%,53m,3208,10.88%
"November 05, 2014 at 10:56PM","November 06, 2014 at 06:00AM",6h 57m,25052,2h 52m,10352,36.43%,4h 5m,14700,51.73%,56m,3363,11.84%
"November 06, 2014 at 11:17PM","November 07, 2014 at 06:00AM",6h 41m,24084,3h 21m,12074,46.37%,3h 20m,12010,46.12%,32m,1957,7.52%
"November 08, 2014 at 01:51AM","November 08, 2014 at 07:25AM",5h 38m,20280,4h 24m,15899,76%,1h 13m,4381,20.94%,10m,639,3.05%
"November 09, 2014 at 12:10AM","November 09, 2014 at 08:05AM",8h 0m,28800,5h 30m,19800,66.67%,2h 30m,9000,30.3%,15m,900,3.03%
"November 09, 2014 at 11:10PM","November 10, 2014 at 05:45AM",6h 30m,23416,4h 8m,14896,60.96%,2h 22m,8520,34.87%,17m,1021,4.18%
"November 11, 2014 at 12:05AM","November 11, 2014 at 06:20AM",6h 15m,22500,0,0,0%,0,0,0%,0,0,0%
"November 11, 2014 at 12:05AM","November 11, 2014 at 06:20AM",6h 15m,22500,0,0,0%,0,0,0%,0,0,0%
